NR_PROCESSO,CD_SERVICO,CD_EVENTO,IN_APLICAVEL,CD_RESP_APLICACAO,CD_RESP_REALIZACAO,CD_RESP_INSPECAO,DT_APLICACAO,DT_REALIZACAO,DT_INSPECAO,CD_RESULT_INSPECAO,NR_RNC,DT_PREVISTA,DT_LIMITE,NR_ORDEM,TX_OBS,IN_BLOQUEADO,IN_ALERTA_ENVIADO,QT_DIAS_DESVIO,DT_REALIZACAO_EFETIVA,DT_ALERTA_ENVIADO,IN_EDI_ENVIADO,CD_EV_BASICO,PZ_DO_EV_BASICO,IN_INTEGRADO_CLIENTE
0102EM-002708-22  ,2  ,188,1,NULL,0022,NULL,NULL,2022-04-06 15:47:00.000,NULL,NULL,NULL,NULL,NULL,30,NULL,0,0,NULL,2022-07-25 19:34:54.393,NULL,NULL,NULL,NULL,NULL
0102ER-000110-16  ,6  ,289,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0101IM-008012-25  ,1  ,018,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,0,0,NULL,NULL,NULL,NULL,416,24,NULL
0102EM-004522-19  ,2  ,132,1,NULL,4901,NULL,NULL,2019-05-30 00:00:00.000,NULL,NULL,NULL,2019-05-28 00:00:00.000,NULL,34,NULL,0,0,NULL,2019-05-30 08:12:56.890,NULL,NULL,131,0,NULL
0102EA-000403-22  ,4  ,124,1,NULL,3420,NULL,NULL,2022-03-16 00:00:00.000,NULL,NULL,NULL,2022-03-17 21:15:55.270,NULL,21,NULL,0,0,NULL,2022-03-16 21:20:10.750,NULL,NULL,235,24,NULL
0101IA-004085-25  ,3  ,082,1,NULL,5383,NULL,NULL,2025-10-20 11:20:21.817,NULL,NULL,NULL,NULL,NULL,20,NULL,0,0,NULL,2025-10-20 11:20:21.823,NULL,NULL,NULL,NULL,NULL
0102ER-003160-25  ,6  ,092,0,3098,NULL,NULL,2026-03-09 10:13:35.163,NULL,NULL,NULL,NULL,2025-07-26 03:04:00.000,NULL,36,NULL,0,0,NULL,NULL,NULL,NULL,149,24,NULL
0101IM-009485-19  ,1  ,470,1,NULL,3933,NULL,NULL,2019-07-30 16:45:05.000,NULL,NULL,NULL,2019-07-29 12:10:17.873,NULL,62,NULL,0,1,NULL,2019-07-30 16:45:42.843,2019-08-02 19:18:52.803,NULL,092,2,NULL
0102ER-001828-18  ,6  ,092,1,NULL,0707,NULL,NULL,2018-07-05 15:21:29.643,NULL,NULL,NULL,2018-07-05 14:55:24.790,NULL,25,NULL,0,0,NULL,2018-07-05 15:21:29.920,NULL,NULL,114,24,NULL
0101IM-011327-19  ,1  ,236,0,4987,4987,NULL,2019-07-30 14:22:24.963,2019-07-30 14:22:30.150,NULL,NULL,NULL,2019-07-30 14:22:27.187,NULL,13,NULL,0,0,NULL,2019-07-30 14:22:30.153,NULL,NULL,215,NULL,NULL
0701IM-1002-13    ,857,076,0,0087,NULL,NULL,2013-06-14 15:29:55.220,NULL,NULL,NULL,NULL,2013-06-09 00:00:00.000,NULL,17,NULL,0,0,NULL,NULL,NULL,NULL,018,-24,NULL
0101IM-001370-19  ,1  ,472,0,1225,NULL,NULL,2019-02-21 08:59:24.763,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0102EM-011051-25  ,2  ,517,1,NULL,5569,NULL,NULL,2025-09-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,17,,0,0,NULL,2025-08-11 15:59:46.160,NULL,NULL,NULL,NULL,NULL
0101IA-002623-19  ,3  ,003,1,NULL,4713,4713,NULL,2019-05-07 13:49:23.060,2019-05-07 13:49:23.060,C,NULL,NULL,NULL,1,NULL,0,0,NULL,2019-05-07 13:49:23.990,NULL,NULL,NULL,NULL,NULL
0101IC-000017-19  ,15 ,568,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019-04-20 12:58:40.303,NULL,27,NULL,0,0,NULL,NULL,NULL,NULL,041,48,NULL
0701IM-1591-12    ,860,416,1,NULL,2681,NULL,NULL,2012-08-03 00:00:00.000,NULL,NULL,NULL,2012-08-04 00:00:00.000,NULL,13,,0, ,NULL,2012-09-01 12:42:41.480,NULL, ,082,48,NULL
0102FT-000016-21  ,7  ,022,1,NULL,0759,0759,NULL,2021-02-22 00:00:00.000,2021-02-22 09:36:33.573,C,NULL,NULL,NULL,2,22/02: Abertura  de Registro - Andrea            22/02: Processo Faturado e enviado ao Pós-Faturamento - Departamento            24/02: [ALTERAÇÃO] Processo Faturado e enviado ao Pós-Faturamento - Departamento               ,0,0,NULL,2021-02-22 09:36:34.233,NULL,NULL,NULL,NULL,NULL
0102EA-003484-15  ,4  ,118,0,3837,NULL,NULL,2015-12-08 14:11:34.777,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,0,0,NULL,NULL,NULL,NULL,641,24,NULL
0102EG-000175-26  ,34 ,007,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0101IM-2929-13    ,657,017,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,0,0,NULL,NULL,NULL,NULL,013,24,NULL
0101IG-0136-12    ,129,013,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,0,0,NULL,NULL,NULL,NULL,162,24,NULL
0101IM-003834-16  ,1  ,032,1,NULL,3472,NULL,NULL,2016-04-20 00:00:00.000,NULL,NULL,NULL,2016-04-21 00:00:00.000,NULL,30,NULL,0,0,NULL,2016-04-20 17:22:39.523,NULL,NULL,021,24,NULL
0101IM-017944-18  ,1  ,647,1,NULL,1892,NULL,NULL,2018-12-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,23,NULL,0,1,NULL,2018-12-27 10:56:46.593,2018-12-27 10:39:49.100,NULL,161,-120,NULL
0102EM-003362-24  ,2  ,114,1,NULL,6097,NULL,NULL,2024-03-25 12:31:53.327,NULL,NULL,NULL,2024-03-20 00:00:00.000,NULL,38,NULL,0,0,NULL,2024-03-25 12:31:53.330,NULL,NULL,132,72,NULL
0101IM-003284-16  ,1  ,419,1,NULL,3520,NULL,NULL,2016-04-29 00:00:00.000,NULL,NULL,NULL,2016-04-30 00:00:00.000,NULL,26,NULL,0,0,NULL,2016-04-29 18:16:32.923,NULL,NULL,416,24,NULL
0101IM-007553-20  ,1  ,184,1,NULL,4773,NULL,NULL,2020-05-06 11:45:52.090,NULL,NULL,NULL,NULL,NULL,10,NULL,0,0,NULL,2020-05-06 11:45:52.093,NULL,NULL,   ,NULL,NULL
0102EM-015778-22  ,2  ,227,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022-09-27 18:00:00.000,NULL,38,NULL,0,0,NULL,NULL,NULL,NULL,271,-24,NULL
0102EM-013404-19  ,2  ,822,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0101IA-000134-22  ,3  ,003,1,NULL,4084,4084,NULL,2022-01-07 18:11:11.410,2022-01-07 18:11:11.410,C,NULL,NULL,NULL,1,NULL,0,0,NULL,2022-01-07 18:11:12.293,NULL,NULL,NULL,NULL,NULL
0102ER-002088-14  ,688,486,1,NULL,3052,NULL,NULL,2014-07-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,6, ,0,0,NULL,2014-07-23 10:04:17.577,NULL,NULL,NULL,NULL,NULL
0101IM-4618-13    ,134,381,1,NULL,2626,NULL,NULL,2013-07-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,7,,0,0,NULL,2013-07-29 14:01:21.987,NULL,NULL,161,-96,NULL
0101IM-002859-17  ,1  ,636,1,NULL,0707,NULL,NULL,2017-04-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,36,NULL,0,0,NULL,2017-04-25 18:25:33.073,NULL,NULL,021,0,NULL
0101IM-006441-21  ,1  ,236,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2021-05-20 11:54:37.077,NULL,14,NULL,0,0,NULL,NULL,NULL,NULL,215,NULL,NULL
0102EA-001322-19  ,4  ,507,1,NULL,2713,NULL,NULL,2019-08-30 14:06:20.707,NULL,NULL,NULL,2019-08-30 13:27:15.530,NULL,13,NULL,0,0,NULL,2019-08-30 14:06:20.777,NULL,NULL,347,24,NULL
0101IM-009150-18  ,1  ,551,1,NULL,2357,NULL,NULL,2018-06-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,4,NULL,0,0,NULL,2018-06-27 08:05:51.730,NULL,NULL,NULL,NULL,NULL
