NR_PROCESSO,NR_OUTRAS_REF,CD_EXPORTADOR,CD_IMPORTADOR,CD_DESPACHANTE,CD_AGENTE,CD_INCOTERM,CD_PAIS_DESTINO,CD_MOEDA,CD_VIA_TRANSPORTE,CD_TRANSPORTADORA,CD_SEGURADORA,CD_REPRESENTANTE,CD_LOCAL_ORIGEM,CD_LOCAL_DESTINO,CD_URF_DESPACHO,CD_URF_DESTINO,CD_TERMO_PAGTO,CD_FORMA_PAGTO,CD_LINGUA_PEDIDO,CD_TIPO_FRETE,CD_USUARIO,CD_CARTA_CREDITO,CD_INST_NEGOC,CD_CONSIGNATARIO,CD_NOTIFY1,CD_NOTIFY2,DT_REGISTRO_PEDIDO,DT_FATURA,IN_DRAWBACK,NR_LI,NR_FATURA,QT_TOTAL_ITENS,TX_INF_EMBALAGEM,TX_MARCACAO_VOLUME,TX_TERMO_PAGTO,TX_DECL_ADICIONAL,TX_DECL_EXPORTADOR,TP_NOTIFY1,TP_NOTIFY2,TP_CONSIGNATARIO,VL_FRETE,VL_SEGURO,VL_PESO_BRUTO,VL_PESO_LIQUIDO,VL_DESCONTO,VL_COMISSAO_PERCENT,VL_TOT_ORIGEM,VL_TOT_CUBAGEM,VL_TOT_FOB,VL_TOT_COM_AGENTE,VL_TOT_QTDE_PROD,VL_TOT_QTDE_EMBALAGEM,VL_TOT_MCV,VL_TOT_EXW,VL_TX_CAMBIO,VL_TOT_CONTAINER,VL_TOT_PALLETS,VL_TOT_DESPESA,NR_SD,NR_CERTIFICADO,CD_LOCAL_EMISSAO,CD_ACORDO,CD_NORMAS,TX_OBSERVACAO,TX_CABECALHO,IN_ACORDO_ITENS,IN_NORMAS_ITENS,DT_SD,IN_FABR_EXPO,CD_FABRICANTE,CD_PAIS_ORIGEM,TP_COPIA,CD_COPIA,TP_DOCUMENTO,CD_DOCUMENTO,IN_ACORDO2_ITENS,IN_NORMAS2_ITENS,CD_ACORDO2,CD_NORMAS2,CD_PAIS_ORIG,IN_VENDA_INCOTERM,TX_MERCADORIA_BL,IN_DECL_AD_INSTR_EMB,IN_DECL_AD_PACKING_LIST,CD_BANCO_SAQUE_BORDERO,NR_DDE,IN_REFERENCIA_FAT_INST,DT_REG_DDE,IN_ETIQUETA,CD_ENQUAD_OP,VL_SEM_COBERTURA_CAMBIAL,TX_DECL_ADIC_INST_EMB,TX_CRIT_ORIG_FORM_A,CD_LOCAL_DESPACHO,VL_ACRESCIMO,DT_AVISO_EMBARQUE,TP_POS_AD,in_num_fat_auto,IN_MONTADO,IN_SELECIONADO,VL_FRETE_INT,TX_LOGOMARCA,CD_BANCO_SAQUE,VL_INLAND_FREIGHT,IN_DUE,IN_REC_ALFANDEGADO_DESPACHO,CD_REC_ALFANDEGADO_DESPACHO,NM_REF_END_REC_ALFAND_DESPACHO,CD_REC_ALFANDEGADO_EMBARQUE,IN_UM_ENQUAD_POR_PROC,TX_INFORMACOES_ADICIONAIS,CD_STATUS_DUE,DT_ENVIO_DUE,CD_CHAVE_ACESSO_DUE,TX_MARCACAO_VOLUME_ESP,IN_TIPO_DOCUMENTO_DUE,NR_PROCESSSO_ADM_IMP,DT_PRAZO_VALIDADE_EXP_TEMP,TX_MOTIVO_RETIFICACAO,QT_DIAS_PRAZO_VALIDADE_EXP_TEMP,IN_REC_ALFANDEGADO_EMBARQUE,NM_REF_END_REC_ALFAND_EMBARQUE,TIPOACORDOCOEMRCIAL_ID
0102EM-010064-18  ,NULL,00785,06117,003,0031,FCA,154,220,01,NULL,NULL,NULL,0002,1729,0817800,0817800,000209,NULL,1,0,NULL,NULL,NULL,11763,11763,NULL,2018-12-13 00:00:00.000,2018-12-19 00:00:00.000,1,NULL,NES073673/2018,001,,NESTLE MIDDLE EAST FZE LDP7063455 HAMAD QATAR NESTLE BRASIL LTDA,,,,0,NULL,0,0,0,"17888,64","14192,64",0,NULL,0,"26,186","35962,08",0,1848,0,"35962,08","35962,08",0,0,0,0,           ,NULL,NULL,NULL,NULL,,,0,0,1899-12-30 00:00:00.000,0,00785,105,NULL,NULL,NULL,NULL,0,0,NULL,NULL,105,0,,1,1,NULL,NULL,0,NULL,NULL,80000,0,"PAY TO: CITIBANK, N.A., NEW YORK ACCOUNT NAME: NESTLE DO BRASIL LTDA ACCOUNT NUMBER: 36235338 ABA021000089 SWIFT CODE: CITIUS33",,NULL,0,NULL,1,0,0,0,0,,NULL,NULL,1,1,8931359,NULL,8931359,1,0102EM-010064-18 DESPACHANTES: EDGAR MOTA DA SILVA: REG.8D.06.022 - CPF:080.614.118-22| AJUDANTES:  DENILSON DIAS DA SILVA: PROC. 11128.726621/2014-19 - CPF 038.471.428-52 | SERGIO MARQUES DE JESUS: PROC. 11128.728458/2014-11 - CPF 080.475.918-94  |,200,2018-12-21 09:43:49.000,18HBQ010242085,NESTLE MIDDLE EAST FZE LDP7063455 HAMAD QATAR NESTLE BRASIL LTDA,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0102ER-0700-05    ,NULL,00005,04620,NULL,NULL,CIP,158,220,07,0091,00718,NULL,0016,0009,1010900,1010900,000001,1,2,1,NULL,NULL,33500,04620,04620,NULL,2005-07-12 00:00:00.000,2005-07-13 00:00:00.000,0,NULL,2432/05,001,10 BALDES EN 01 PALLET,BRASIL/BASF SÃO PAULO 25/615 TRICOLOR S.A. SANTIAGO DE CHILE,""" DE ALMACEN, CUBRIENDO TODOS LOS RIESGOS, GUERRAS, HUELGAS Y CONMOCIONES CIVILES. DE ACUERDO CON INSTITUTE CARGO CLAUSES (A) "".  ||",NULL,NULL,0,NULL,0,"35,9","1,41",233,200,0,5,0,"0,6","1162,69","58,13",200,200,1200,1200,0,0,0,0,           ,NULL,001,NULL,NULL,                           (ER-0700-05),NULL,0,0,1899-12-30 00:00:00.000,2,00009,105,NULL,NULL,0,00718,0,0,NULL,NULL,105,1,NULL,1,1,NULL,NULL,0,NULL,NULL,80000,0,NULL,NULL,NULL,0,2005-07-19 00:00:00.000,1,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0102ER-005585-21  ,NULL,01140,06324,003,NULL,FCA,158,220,07,NULL,NULL,NULL,1448,2228,1017500,1017500,000203,NULL,2,0,NULL,NULL,33500,06324,06324,NULL,2021-12-15 00:00:00.000,2021-12-23 08:00:00.000,1,NULL,NES093404/2021,001, ,NESTLE, , ,,0,NULL,0,0,0,12320,11200,0,NULL,0,"84,112","82671,68",0,56,0,"82671,68","82671,68",0,0,0,0,           ,NULL,NULL,NULL,NULL, , ,0,0,1899-12-30 00:00:00.000,0,00781,105,NULL,NULL,NULL,NULL,0,0,NULL,NULL,105,0, ,1,1,NULL,NULL,0,NULL,NULL,80000,0,"PAY TO: CITIBANK, N.A., NEW YORK ACCOUNT NAME: NESTLE DO BRASIL LTDA ACCOUNT NUMBER: 36235338 ABA021000089 SWIFT CODE: CITIUS33", ,NULL,0,NULL,1,0,0,0,0,,NULL,NULL,1,1,0603201,NULL,0603201,1,0102ER-005585-21 PRESTADORA DO SERVICO: RCR ASSESSORIA ADRUANEIRA E REPRESENTAÇÕES - DESPACHANTES AUTORIZADOS:REINALDO PADILHA DA SILVA :REG. 10D.01.845 - CPF 700.798.110-00 MARCAÇÃO: 002/2330/1133 - SERIE: 1901,200,2021-12-23 15:46:57.000,21CHJ067121481,NESTLE,1,NULL,NULL,NULL,NULL,1,NULL,NULL
0102EM-015921-23  ,NULL,02870,NULL,031,NULL,FOB,149,220,NULL,NULL,     ,     ,NULL,NULL,0517800,0517800,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2024-01-03 08:51:01.180,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,1,1,NULL,NULL,0,NULL,NULL,81101,0,NULL,NULL,NULL,0,NULL,1,0,0,0,0,NULL,NULL,NULL,1,1,5921302,,5921302,1,0102EM-015921-23,200,2024-01-03 08:49:57.000,24VKW111512910,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL
0102EM-000458-15  ,NULL,01729,10254,NULL,0338,CFR,063,790,01,0827,NULL,NULL,0167,0010,0927800,0817800,000005,NULL,2,1,NULL,NULL,31800,10254,10254,NULL,2015-01-28 00:00:00.000,NULL,1,NULL,70485836,001,,,,,,0,NULL,0,"11374,51",0,"172293,414","167226,3",0,NULL,0,0,"138422,57",0,23553,0,"149797,08","149797,08",0,0,0,0,           ,NULL,NULL,NULL,NULL,,,0,0,1899-12-30 00:00:00.000,0,01729,105,NULL,NULL,NULL,NULL,0,0,NULL,NULL,105,1,,1,1,NULL,NULL,0,NULL,NULL,80000,0,ENVIO DE DOCUMENTOS (ORIGINAIS\COPIAS)  VASA - VIDRIERIA ARGENTINA S.A AV. ANTARTIDA ARGENTINA Y VIAS F. ROCA CP 1836 LLAVALLOL BUENOS AIRES ARGENTINA ,,NULL,0,NULL,1,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0102ER-0100-05    ,NULL,00005,01051,003,    ,FCA,063,220,07,0007,NULL,NULL,0023,0010,0815500,1010900,000002,NULL,2,0,NULL,NULL,31800,01051,01051,NULL,2005-02-11 00:00:00.000,2005-02-14 00:00:00.000,0,NULL,1456/05,001,15 TAMBORES ACONDICIONADOS EN 4 PALLETS,"BRASIL BASF, SB CAMPO, 4502047409, BASF ARGENTINA S.A., BUENOS AIRES, RODOVIARIO",NULL,"PINTURA IMOBILIARIA  ""ORIGEN Y PROCEDENCIA DE LA MERCADERIA: BRASIL.""",DECLARAMOS BAJO JURAMENTO QUE LOS DATOS QUE CONTIENE EN ESTA FACTURA SON EL FIEL REFLAJO DE LA VERDAD Y QUE LOS PRECIOS INDICADOS SON REALMENTE LOS PAGADOS O A PAGARSE. DECLARAMOS EN IGUAL FORMA QUE NO EXISTEN CONVENIOS QUE PERMITAN ALTERACIONES.,0,NULL,0,0,0,3205,2850,0,0,0,0,2907,0,2850,2850,2907,2907,0,0,0,0,20501843655,NULL,001,NULL,NULL,       ER-0100-05,NULL,0,0,2005-02-18 00:00:00.000,2,00006,105,NULL,NULL,0,01051,0,0,NULL,NULL,105,0,NULL,1,1,NULL,20501843655,0,2005-02-18 00:00:00.000,NULL,80000,0,Nº CUIT: 30-51748667-8,NULL,NULL,0,2005-02-22 00:00:00.000,1,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0102EA-001217-21  ,NULL,01880,06744,003,1188,EXW,249,220,04,NULL,NULL,NULL,0111,0495,0817700,0817700,000005,NULL,1,0,NULL,NULL,NULL,05391,05391,NULL,2021-07-21 00:00:00.000,2021-07-21 00:00:00.000,0,NULL,000966/21,001,02 TREATED WOODEN PALLETS,SAINT-GOBAIN DO BRASIL PROD.INDUSTRIAIS E PARA CONSTRUÇÃO LTDA. BRAZIL SGA INC USA USA CDE 0966/21      , , ,,0,NULL,0,0,0,249,"205,4",0,0,0,"0,6697","24332,61",0,235,0,"24332,61","24332,61",0,0,0,0,           ,NULL,NULL,NULL,NULL, , ,0,0,1899-12-30 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,105,0, ,1,1,NULL,NULL,0,NULL,NULL,80000,0,, ,NULL,0,NULL,1,0,0,0,0,logo_sg2.jpg,NULL,NULL,1,1,8921101,NULL,8921101,1,0102EA-001217-21 - CDE-0966-21 - DESPACHANTES: GLAUCIA MARA TEIXEIRA - REG:8D.04.026 - CPF 108.285.948-64 // AJUDANTES: EDSON ROGERIO DOS SANTOS JUNIOR - CPF 433.308.578-03 ,200,2021-07-21 15:28:00.000,21OGZ057232337, ,1,NULL,NULL,NULL,NULL,1,NULL,NULL
0102EM-019023-21  ,NULL,02835,29014,003,NULL,CIP,249,220,NULL,NULL,     ,     ,NULL,NULL,0817800,0817800,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2021-11-29 16:24:53.103,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,1,1,NULL,NULL,0,NULL,NULL,80000,0,NULL,NULL,NULL,0,NULL,1,0,0,0,0,NULL,NULL,NULL,1,1,8931356,,8931356,1,0102EM-019023-21,200,2021-11-29 16:28:41.000,21ZHW065449331,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL
0102EG-000409-19  ,NULL,02731,19071,003,NULL,FOB,245,220,NULL,NULL,     ,     ,NULL,NULL,0210200,0210200,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2019-06-19 09:15:28.793,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,1,1,NULL,NULL,0,NULL,NULL,80380,0,NULL,NULL,NULL,0,NULL,1,0,0,0,0,NULL,NULL,NULL,1,1,2101602,,2101602,0,0102EG-000409-19 - MV GENESIS   -    PORTO SANATREM    -      DESTINO ESPANHA,422,2019-06-19 09:24:46.000,19SDI018688234,NULL,3,NULL,NULL,NULL,NULL,1,NULL,NULL
0102ER-000497-19  ,NULL,01597,11033,003,1203,FCA,097,220,07,1055,NULL,NULL,0928,0592,0147600,0147600,000005,NULL,2,0,NULL,NULL,NULL,11033,11033,NULL,2019-02-19 00:00:00.000,NULL,1,NULL,70815167,001, , , , ,,0,NULL,0,0,0,"25143,48","25143,48",0,NULL,0,0,"4855,83",0,"1271,16",0,"4855,83","4855,83",0,0,0,0,           ,NULL,NULL,NULL,NULL, , ,0,0,1899-12-30 00:00:00.000,0,01597,105,NULL,NULL,NULL,NULL,0,0,NULL,NULL,105,1, ,1,1,NULL,NULL,0,NULL,NULL,80000,0, , ,NULL,0,2019-02-19 00:00:00.000,1,0,0,0,0,,NULL,NULL,1,1,1933101,NULL,1933101,1,0102ER-000497-19,200,2019-02-19 11:08:36.000,19TAT012700860, ,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
