TrackId,Name,AlbumId,GenreId,Composer,Milliseconds
1,For Those About To Rock (We Salute You),1,1,"Angus Young, Malcolm Young, Brian Johnson",343719
2,Balls to the Wall,2,1,"",342562
3,Fast As a Shark,3,1,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",230619
4,Restless and Wild,3,1,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",252051
5,Princess of the Dawn,3,1,Deaffy & R.A. Smith-Diesel,375418
6,Put The Finger On You,1,1,"Angus Young, Malcolm Young, Brian Johnson",205662
7,"Let's Get It Up",1,1,"Angus Young, Malcolm Young, Brian Johnson",233926
8,Inject The Venom,1,1,"Angus Young, Malcolm Young, Brian Johnson",210834
9,Snowballed,1,1,"Angus Young, Malcolm Young, Brian Johnson",203102
10,Evil Walks,1,1,"Angus Young, Malcolm Young, Brian Johnson",263497
11,C.O.D.,1,1,"Angus Young, Malcolm Young, Brian Johnson",199836
12,Breaking The Rules,1,1,"Angus Young, Malcolm Young, Brian Johnson",263288
13,Night Of The Long Knives,1,1,"Angus Young, Malcolm Young, Brian Johnson",205688
14,Spellbound,1,1,"Angus Young, Malcolm Young, Brian Johnson",270863
15,Go Down,4,1,AC/DC,331180
16,Dog Eat Dog,4,1,AC/DC,215196
17,Let There Be Rock,4,1,AC/DC,366654
18,Bad Boy Boogie,4,1,AC/DC,267728
19,Problem Child,4,1,AC/DC,325041
20,Overdose,4,1,AC/DC,369319
21,"Hell Ain't A Bad Place To Be",4,1,AC/DC,254380
22,Whole Lotta Rosie,4,1,AC/DC,323761
23,Walk On Water,5,1,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",295680
24,Love In An Elevator,5,1,"Steven Tyler, Joe Perry",321828
25,Rag Doll,5,1,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698
26,What It Takes,5,1,"Steven Tyler, Joe Perry, Desmond Child",310622
27,Dude (Looks Like A Lady),5,1,"Steven Tyler, Joe Perry, Desmond Child",264855
28,"Janie's Got A Gun",5,1,"Steven Tyler, Tom Hamilton",330736
29,"Cryin'",5,1,"Steven Tyler, Joe Perry, Taylor Rhodes",309263
30,Amazing,5,1,"Steven Tyler, Richie Supa",356519
31,Blind Man,5,1,"Steven Tyler, Joe Perry, Taylor Rhodes",240718
32,Deuces Are Wild,5,1,"Steven Tyler, Jim Vallance",215875
33,The Other Side,5,1,"Steven Tyler, Jim Vallance",244375
34,Crazy,5,1,"Steven Tyler, Joe Perry, Desmond Child",316656
35,Eat The Rich,5,1,"Steven Tyler, Joe Perry, Jim Vallance",251036
36,Angel,5,1,"Steven Tyler, Desmond Child",307617
37,"Livin' On The Edge",5,1,"Steven Tyler, Joe Perry, Mark Hudson",381231
38,All I Really Want,6,1,Alanis Morissette & Glenn Ballard,284891
39,You Oughta Know,6,1,Alanis Morissette & Glenn Ballard,249234
40,Perfect,6,1,Alanis Morissette & Glenn Ballard,188133
41,Hand In My Pocket,6,1,Alanis Morissette & Glenn Ballard,221570
42,Right Through You,6,1,Alanis Morissette & Glenn Ballard,176117
43,Forgiven,6,1,Alanis Morissette & Glenn Ballard,300355
44,You Learn,6,1,Alanis Morissette & Glenn Ballard,239699
45,Head Over Feet,6,1,Alanis Morissette & Glenn Ballard,267493
46,Mary Jane,6,1,Alanis Morissette & Glenn Ballard,280607
47,Ironic,6,1,Alanis Morissette & Glenn Ballard,229825
48,Not The Doctor,6,1,Alanis Morissette & Glenn Ballard,227631
49,Wake Up,6,1,Alanis Morissette & Glenn Ballard,293485
50,You Oughta Know (Alternate),6,1,Alanis Morissette & Glenn Ballard,491885
51,We Die Young,7,1,Jerry Cantrell,152084
52,Man In The Box,7,1,"Jerry Cantrell, Layne Staley",286641
53,Sea Of Sorrow,7,1,Jerry Cantrell,349831
54,Bleed The Freak,7,1,Jerry Cantrell,241946
55,"I Can't Remember",7,1,"Jerry Cantrell, Layne Staley",222955
56,"Love, Hate, Love",7,1,"Jerry Cantrell, Layne Staley",387134
57,"It Ain't Like That",7,1,"Jerry Cantrell, Michael Starr, Sean Kinney",277577
58,Sunshine,7,1,Jerry Cantrell,284969
59,Put You Down,7,1,Jerry Cantrell,196231
60,Confusion,7,1,"Jerry Cantrell, Michael Starr, Layne Staley",344163
61,I Know Somethin (Bout You),7,1,Jerry Cantrell,261955
62,Real Thing,7,1,"Jerry Cantrell, Layne Staley",243879
85,Cochise,10,1,Audioslave/Chris Cornell,222380
86,Show Me How to Live,10,1,Audioslave/Chris Cornell,277890
87,Gasoline,10,1,Audioslave/Chris Cornell,279457
88,What You Are,10,1,Audioslave/Chris Cornell,249391
89,Like a Stone,10,1,Audioslave/Chris Cornell,294034
90,Set It Off,10,1,Audioslave/Chris Cornell,263262
91,Shadow on the Sun,10,1,Audioslave/Chris Cornell,343457
92,I am the Highway,10,1,Audioslave/Chris Cornell,334942
93,Exploder,10,1,Audioslave/Chris Cornell,206053
94,Hypnotize,10,1,Audioslave/Chris Cornell,206628
95,"Bring'em Back Alive",10,1,Audioslave/Chris Cornell,329534
96,Light My Way,10,1,Audioslave/Chris Cornell,303595
97,Getaway Car,10,1,Audioslave/Chris Cornell,299598
98,The Last Remaining Light,10,1,Audioslave/Chris Cornell,317492
99,Your Time Has Come,11,4,"Cornell, Commerford, Morello, Wilk",255529
100,Out Of Exile,11,4,"Cornell, Commerford, Morello, Wilk",291291
101,Be Yourself,11,4,"Cornell, Commerford, Morello, Wilk",279484
