TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,CHAVE_PRIMARIA
WhoIsActive,dd hh:mm:ss.mss,varchar,8000.0,,,YES,,NAO
WhoIsActive,session_id,smallint,,5.0,0.0,NO,,NAO
WhoIsActive,sql_text,xml,-1.0,,,YES,,NAO
WhoIsActive,sql_command,xml,-1.0,,,YES,,NAO
WhoIsActive,login_name,nvarchar,128.0,,,NO,,NAO
WhoIsActive,wait_info,nvarchar,4000.0,,,YES,,NAO
WhoIsActive,tran_log_writes,nvarchar,4000.0,,,YES,,NAO
WhoIsActive,CPU,varchar,30.0,,,YES,,NAO
WhoIsActive,tempdb_allocations,varchar,30.0,,,YES,,NAO
WhoIsActive,tempdb_current,varchar,30.0,,,YES,,NAO
WhoIsActive,blocking_session_id,smallint,,5.0,0.0,YES,,NAO
WhoIsActive,reads,varchar,30.0,,,YES,,NAO
WhoIsActive,writes,varchar,30.0,,,YES,,NAO
WhoIsActive,physical_reads,varchar,30.0,,,YES,,NAO
WhoIsActive,query_plan,xml,-1.0,,,YES,,NAO
WhoIsActive,used_memory,varchar,30.0,,,YES,,NAO
WhoIsActive,status,varchar,30.0,,,NO,,NAO
WhoIsActive,tran_start_time,datetime,,,,YES,,NAO
WhoIsActive,open_tran_count,varchar,30.0,,,YES,,NAO
WhoIsActive,percent_complete,varchar,30.0,,,YES,,NAO
WhoIsActive,host_name,nvarchar,128.0,,,YES,,NAO
WhoIsActive,database_name,nvarchar,128.0,,,YES,,NAO
WhoIsActive,program_name,nvarchar,128.0,,,YES,,NAO
WhoIsActive,start_time,datetime,,,,NO,,NAO
WhoIsActive,login_time,datetime,,,,YES,,NAO
WhoIsActive,request_id,int,,10.0,0.0,YES,,NAO
WhoIsActive,collection_time,datetime,,,,NO,,NAO
