TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,CHAVE_PRIMARIA
backupfile,backup_set_id,int,,10.0,0.0,NO,,SIM
backupfile,first_family_number,tinyint,,3.0,0.0,YES,,NAO
backupfile,first_media_number,smallint,,5.0,0.0,YES,,NAO
backupfile,filegroup_name,nvarchar,128.0,,,YES,,NAO
backupfile,page_size,int,,10.0,0.0,YES,,NAO
backupfile,file_number,numeric,,10.0,0.0,NO,,SIM
backupfile,backed_up_page_count,numeric,,10.0,0.0,YES,,NAO
backupfile,file_type,char,1.0,,,YES,,NAO
backupfile,source_file_block_size,numeric,,10.0,0.0,YES,,NAO
backupfile,file_size,numeric,,20.0,0.0,YES,,NAO
backupfile,logical_name,nvarchar,128.0,,,YES,,NAO
backupfile,physical_drive,nvarchar,260.0,,,YES,,NAO
backupfile,physical_name,nvarchar,260.0,,,YES,,NAO
backupfile,state,tinyint,,3.0,0.0,YES,,NAO
backupfile,state_desc,nvarchar,64.0,,,YES,,NAO
backupfile,create_lsn,numeric,,25.0,0.0,YES,,NAO
backupfile,drop_lsn,numeric,,25.0,0.0,YES,,NAO
backupfile,file_guid,uniqueidentifier,,,,YES,,NAO
backupfile,read_only_lsn,numeric,,25.0,0.0,YES,,NAO
backupfile,read_write_lsn,numeric,,25.0,0.0,YES,,NAO
backupfile,differential_base_lsn,numeric,,25.0,0.0,YES,,NAO
backupfile,differential_base_guid,uniqueidentifier,,,,YES,,NAO
backupfile,backup_size,numeric,,20.0,0.0,YES,,NAO
backupfile,filegroup_guid,uniqueidentifier,,,,YES,,NAO
backupfile,is_readonly,bit,,,,YES,,NAO
backupfile,is_present,bit,,,,YES,,NAO
backupfilegroup,backup_set_id,int,,10.0,0.0,NO,,SIM
backupfilegroup,name,nvarchar,128.0,,,NO,,NAO
backupfilegroup,filegroup_id,int,,10.0,0.0,NO,,SIM
backupfilegroup,filegroup_guid,uniqueidentifier,,,,YES,,NAO
backupfilegroup,type,char,2.0,,,NO,,NAO
backupfilegroup,type_desc,nvarchar,60.0,,,NO,,NAO
backupfilegroup,is_default,bit,,,,NO,,NAO
backupfilegroup,is_readonly,bit,,,,NO,,NAO
backupfilegroup,log_filegroup_guid,uniqueidentifier,,,,YES,,NAO
backupmediafamily,media_set_id,int,,10.0,0.0,NO,,SIM
backupmediafamily,family_sequence_number,tinyint,,3.0,0.0,NO,,SIM
backupmediafamily,media_family_id,uniqueidentifier,,,,YES,,NAO
backupmediafamily,media_count,int,,10.0,0.0,YES,,NAO
backupmediafamily,logical_device_name,nvarchar,128.0,,,YES,,NAO
backupmediafamily,physical_device_name,nvarchar,260.0,,,YES,,NAO
backupmediafamily,device_type,tinyint,,3.0,0.0,YES,,NAO
backupmediafamily,physical_block_size,int,,10.0,0.0,YES,,NAO
backupmediafamily,mirror,tinyint,,3.0,0.0,NO,((0)),SIM
backupmediaset,media_set_id,int,,10.0,0.0,NO,,SIM
backupmediaset,media_uuid,uniqueidentifier,,,,YES,,NAO
backupmediaset,media_family_count,tinyint,,3.0,0.0,YES,,NAO
backupmediaset,name,nvarchar,128.0,,,YES,,NAO
backupmediaset,description,nvarchar,255.0,,,YES,,NAO
backupmediaset,software_name,nvarchar,128.0,,,YES,,NAO
backupmediaset,software_vendor_id,int,,10.0,0.0,YES,,NAO
backupmediaset,MTF_major_version,tinyint,,3.0,0.0,YES,,NAO
backupmediaset,mirror_count,tinyint,,3.0,0.0,YES,,NAO
backupmediaset,is_password_protected,bit,,,,YES,,NAO
backupmediaset,is_compressed,bit,,,,YES,,NAO
backupset,backup_set_id,int,,10.0,0.0,NO,,SIM
backupset,backup_set_uuid,uniqueidentifier,,,,NO,,NAO
backupset,media_set_id,int,,10.0,0.0,NO,,NAO
backupset,first_family_number,tinyint,,3.0,0.0,YES,,NAO
backupset,first_media_number,smallint,,5.0,0.0,YES,,NAO
