TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,CHAVE_PRIMARIA
dtproperties,id,int,,10.0,0.0,NO,,SIM
dtproperties,objectid,int,,10.0,0.0,YES,,NAO
dtproperties,property,varchar,64.0,,,NO,,SIM
dtproperties,value,varchar,255.0,,,YES,,NAO
dtproperties,uvalue,nvarchar,255.0,,,YES,,NAO
dtproperties,lvalue,image,2147483647.0,,,YES,,NAO
dtproperties,version,int,,10.0,0.0,NO,0,NAO
M01_MENU,M01_CD_MENU,char,2.0,,,NO,,SIM
M01_MENU,M01_NM_MENU,varchar,50.0,,,YES,,NAO
M01_MENU,M01_NM_ENG,varchar,50.0,,,YES,,NAO
M01_MENU,M01_NM_ESP,varchar,50.0,,,YES,,NAO
M01_MENU,M01_AP_MENU,varchar,10.0,,,YES,,NAO
M01_MENU,M01_NR_ORDEM,int,,10.0,0.0,YES,,NAO
M01_MENU,M01_IN_ATIVO,bit,,,,YES,-1,NAO
M02_SUBM,M02_CD_MENU,char,2.0,,,NO,,SIM
M02_SUBM,M02_CD_SUBM,char,2.0,,,NO,,SIM
M02_SUBM,M02_NM_SUBM,varchar,50.0,,,YES,,NAO
M02_SUBM,M02_NM_ENG,varchar,50.0,,,YES,,NAO
M02_SUBM,M02_NM_ESP,varchar,50.0,,,YES,,NAO
M02_SUBM,M02_AP_SUBM,varchar,25.0,,,YES,,NAO
M02_SUBM,M02_NM_SPROC,varchar,25.0,,,YES,,NAO
M02_SUBM,M02_EX_EMBARQUE,bit,,,,YES,-1,NAO
M02_SUBM,M02_EX_CALC_KPI,bit,,,,YES,0,NAO
M02_SUBM,M02_EX_DT_PREV,bit,,,,YES,0,NAO
M02_SUBM,M02_EX_DOWNLOAD,bit,,,,YES,0,NAO
M02_SUBM,M02_EX_EMAIL,bit,,,,YES,0,NAO
M02_SUBM,M02_EX_PRINT,bit,,,,YES,0,NAO
M02_SUBM,M02_EX_DOCTOS,bit,,,,YES,0,NAO
M02_SUBM,M02_EX_RELAT,bit,,,,YES,0,NAO
M02_SUBM,M02_EX_QUEBRA,bit,,,,YES,0,NAO
M02_SUBM,M02_EX_EVENTO,bit,,,,YES,0,NAO
M02_SUBM,M02_EX_DIAS,bit,,,,YES,0,NAO
M02_SUBM,M02_EX_ORDEM,bit,,,,YES,0,NAO
M02_SUBM,M02_NR_ORDEM,int,,10.0,0.0,YES,,NAO
M02_SUBM,M02_IN_ATIVO,bit,,,,YES,,NAO
M02_SUBM,M02_NR_MAX_FILTRO,int,,10.0,0.0,YES,-25,NAO
M02_SUBM,M02_NR_MAX_CAMPO,int,,10.0,0.0,YES,-75,NAO
M02_SUBM,M02_IN_VIEW,bit,,,,YES,-1,NAO
M03_LIMITADOR,M03_CD_LIMITADOR,char,10.0,,,NO,,SIM
M03_LIMITADOR,M03_CD_MENU,char,2.0,,,NO,,NAO
M03_LIMITADOR,M03_CD_SUBM,char,2.0,,,NO,,NAO
M03_LIMITADOR,M03_CD_DADO,char,4.0,,,NO,,NAO
M03_LIMITADOR,M03_TP_EXIBIR,char,1.0,,,YES,-2,NAO
M03_LIMITADOR,M03_TP_FOLLOWUP,char,1.0,,,YES,-2,NAO
M03_LIMITADOR,M03_NR_ORDEM,int,,10.0,0.0,YES,,NAO
M03_LIMITADOR,M03_IN_ATIVO,bit,,,,YES,-1,NAO
M04_TEMP_FILTRO,M13_CD_VIEW,char,12.0,,,NO,,NAO
M04_TEMP_FILTRO,M13_CD_FILTRO,char,10.0,,,NO,,NAO
M04_TEMP_FILTRO,M13_NR_ORDEM,int,,10.0,0.0,YES,,NAO
M04_TEMP_FILTRO,M13_IN_PADRAO,bit,,,,YES,,NAO
M04_TEMP_FILTRO,M13_VL_PADRAO,varchar,10.0,,,YES,,NAO
M05_TEMP_CAMPO,M14_CD_VIEW,char,12.0,,,NO,,NAO
M05_TEMP_CAMPO,M14_CD_CAMPO,char,10.0,,,NO,,NAO
M05_TEMP_CAMPO,M14_NR_ORDEM,int,,10.0,0.0,YES,,NAO
M06_VIEW,M06_CD_VIEW,char,12.0,,,NO,,SIM
M06_VIEW,M06_CD_MENU,char,2.0,,,NO,,NAO
M06_VIEW,M06_CD_SUBM,char,2.0,,,NO,,NAO
M06_VIEW,M06_CD_USUARIO,char,4.0,,,NO,,NAO
M06_VIEW,M06_NM_VIEW,varchar,50.0,,,YES,,NAO
M06_VIEW,M06_IN_EMBARQUE,bit,,,,YES,((0)),NAO
M06_VIEW,M06_IN_DT_PREV,bit,,,,YES,((0)),NAO
M06_VIEW,M06_IN_DOWNLOAD,bit,,,,YES,((0)),NAO
M06_VIEW,M06_IN_EMAIL,bit,,,,YES,((0)),NAO
M06_VIEW,M06_IN_PRINT,bit,,,,YES,((0)),NAO
M06_VIEW,M06_IN_DOCTOS,bit,,,,YES,((0)),NAO
M06_VIEW,M06_IN_PADRAO,bit,,,,YES,((0)),NAO
M06_VIEW,M06_IN_SYSTEM,bit,,,,YES,((0)),NAO
M06_VIEW,M06_TP_RELAT,char,1.0,,,YES,((0)),NAO
M06_VIEW,M06_TP_QUEBRA,char,1.0,,,YES,((0)),NAO
M06_VIEW,M06_TP_REF_CLI,char,2.0,,,YES,,NAO
M06_VIEW,M06_CD_EVENTO,char,3.0,,,YES,,NAO
M06_VIEW,M06_NR_DIAS,int,,10.0,0.0,YES,((0)),NAO
M06_VIEW,M06_TX_ORDEM,varchar,100.0,,,YES,,NAO
M06_VIEW,M06_CD_CAMPO,varchar,500.0,,,YES,,NAO
M06_VIEW,M06_TP_ORDEM,varchar,500.0,,,YES,((0)),NAO
M06_VIEW,M06_IN_KPI,char,1.0,,,YES,,NAO
M06_VIEW,M06_TP_LIMITADOR,char,1.0,,,YES,,NAO
M06_VIEW,M06_HR_FREQ_DIARIA,varchar,50.0,,,YES,,NAO
M06_VIEW,M06_FREQ_OCORRE_TODOS,char,1.0,,,YES,,NAO
M06_VIEW,M06_FREQ_OCORRE_SEG,char,1.0,,,YES,,NAO
M06_VIEW,M06_FREQ_OCORRE_TER,char,1.0,,,YES,,NAO
M06_VIEW,M06_FREQ_OCORRE_QUA,char,1.0,,,YES,,NAO
M06_VIEW,M06_FREQ_OCORRE_QUI,char,1.0,,,YES,,NAO
M06_VIEW,M06_FREQ_OCORRE_SEX,char,1.0,,,YES,,NAO
M06_VIEW,M06_FREQ_OCORRE_SAB,char,1.0,,,YES,,NAO
M06_VIEW,M06_FREQ_OCORRE_DOM,char,1.0,,,YES,,NAO
M06_VIEW,M06_DIAS_FREQ_OCORRE,varchar,50.0,,,YES,,NAO
M06_VIEW,M06_CD_ARQUIVO,varchar,50.0,,,YES,,NAO
M06_VIEW,M06_CD_GRUPO,varchar,50.0,,,YES,,NAO
M06_VIEW,M06_CD_CLIENTE,varchar,50.0,,,YES,,NAO
M06_VIEW,M06_CD_MODAL,varchar,50.0,,,YES,,NAO
M06_VIEW,M06_CD_UNIDADE,varchar,50.0,,,YES,,NAO
M06_VIEW,M06_EVENTOS_MARCADOS,varchar,100.0,,,YES,,NAO
M06_VIEW,M06_TP_LIMITADOR_AUX,char,1.0,,,YES,,NAO
M06_VIEW,M06_CD_EVENTO_2,char,3.0,,,YES,,NAO
M06_VIEW,M06_TP_LIMITADOR_2,char,1.0,,,YES,,NAO
M06_VIEW,M06_TP_LIMITADOR_AUX_2,char,1.0,,,YES,,NAO
M06_VIEW,M06_NR_DIAS_2,int,,10.0,0.0,YES,((0)),NAO
