TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,CHAVE_PRIMARIA
Account,id,bigint,,19.0,0.0,NO,,SIM
Account,agency,nvarchar,255.0,,,YES,,NAO
Account,number,nvarchar,255.0,,,YES,,NAO
Account,bank_id,bigint,,19.0,0.0,YES,,NAO
Account,beneficiary_id,bigint,,19.0,0.0,YES,,NAO
APSExport,id,bigint,,19.0,0.0,NO,,SIM
APSExport,averbacaoDate,datetime,,,,YES,,NAO
APSExport,dde,nvarchar,255.0,,,YES,,NAO
APSExport,ddeChanel,nvarchar,255.0,,,YES,,NAO
APSExport,ddeDate,datetime,,,,YES,,NAO
APSExport,plannedDateShip,datetime,,,,YES,,NAO
APSExport,processBrokerID,nvarchar,255.0,,,YES,,NAO
APSExport,processNumberID,nvarchar,255.0,,,YES,,NAO
APSExport,reserve,nvarchar,255.0,,,YES,,NAO
APSExport,shipDate,datetime,,,,YES,,NAO
APSExport,transitTime,nvarchar,255.0,,,YES,,NAO
APSExport,vessel,nvarchar,255.0,,,YES,,NAO
APSExport,log_id,bigint,,19.0,0.0,YES,,NAO
APSExport_BKP_20180716,id,bigint,,19.0,0.0,NO,,NAO
APSExport_BKP_20180716,averbacaoDate,datetime,,,,YES,,NAO
APSExport_BKP_20180716,dde,nvarchar,255.0,,,YES,,NAO
APSExport_BKP_20180716,ddeChanel,nvarchar,255.0,,,YES,,NAO
APSExport_BKP_20180716,ddeDate,datetime,,,,YES,,NAO
APSExport_BKP_20180716,plannedDateShip,datetime,,,,YES,,NAO
APSExport_BKP_20180716,processBrokerID,nvarchar,255.0,,,YES,,NAO
APSExport_BKP_20180716,processNumberID,nvarchar,255.0,,,YES,,NAO
APSExport_BKP_20180716,reserve,nvarchar,255.0,,,YES,,NAO
APSExport_BKP_20180716,shipDate,datetime,,,,YES,,NAO
APSExport_BKP_20180716,transitTime,nvarchar,255.0,,,YES,,NAO
APSExport_BKP_20180716,vessel,nvarchar,255.0,,,YES,,NAO
APSExport_BKP_20180716,log_id,bigint,,19.0,0.0,YES,,NAO
APSExport_EXP0003D,APSExport_id,bigint,,19.0,0.0,NO,,NAO
APSExport_EXP0003D,exp03D_id,bigint,,19.0,0.0,NO,,NAO
APSExport_EXP0004D,APSExport_id,bigint,,19.0,0.0,NO,,NAO
APSExport_EXP0004D,exp04D_id,bigint,,19.0,0.0,NO,,NAO
APSExport_EXP0005S,APSExport_id,bigint,,19.0,0.0,NO,,NAO
APSExport_EXP0005S,exp05S_id,bigint,,19.0,0.0,NO,,NAO
AUDITORIA,DATA,datetime,,,,YES,,NAO
AUDITORIA,MAQUINA,varchar,50.0,,,YES,,NAO
AUDITORIA,USUARIO,varchar,50.0,,,YES,,NAO
AUDITORIA,ENTIDADE,varchar,50.0,,,YES,,NAO
AUDITORIA,ENTIDADE_PAI,varchar,50.0,,,YES,,NAO
AUDITORIA,OPERACAO,char,1.0,,,YES,,NAO
AUDITORIA,DETALHES,text,2147483647.0,,,YES,,NAO
AuthUser,id,bigint,,19.0,0.0,NO,,SIM
AuthUser,gender,varchar,255.0,,,YES,,NAO
AuthUser,name,nvarchar,255.0,,,YES,,NAO
AuthUser,password,nvarchar,255.0,,,YES,,NAO
AuthUser,status,bit,,,,NO,,NAO
AuthUser,username,nvarchar,255.0,,,YES,,NAO
AuthUser,branch_id,bigint,,19.0,0.0,YES,,NAO
AuthUser,financial_auth,bit,,,,NO,((0)),NAO
Balance,id,bigint,,19.0,0.0,NO,,SIM
Balance,Value,numeric,,19.0,2.0,YES,,NAO
Bank,id,bigint,,19.0,0.0,NO,,SIM
Bank,code,nvarchar,255.0,,,YES,,NAO
Bank,name,nvarchar,255.0,,,YES,,NAO
Beneficiary,id,bigint,,19.0,0.0,NO,,SIM
Beneficiary,aKey,nvarchar,255.0,,,YES,,NAO
Beneficiary,name,nvarchar,255.0,,,YES,,NAO
Beneficiary,taxID,nvarchar,255.0,,,NO,,NAO
Billing,id,bigint,,19.0,0.0,NO,,SIM
Billing,akey,nvarchar,255.0,,,YES,,NAO
Billing,created,datetime,,,,YES,,NAO
Billing,dueDate,datetime,,,,YES,,NAO
Billing,invoiceReceiverType,varchar,255.0,,,YES,,NAO
Billing,obs,ntext,1073741823.0,,,YES,,NAO
Billing,seniorDateNFE,datetime,,,,YES,,NAO
Billing,seniorKey,nvarchar,255.0,,,YES,,NAO
Billing,status,nvarchar,255.0,,,YES,,NAO
Billing,type,nvarchar,255.0,,,YES,,NAO
Billing,branch_id,bigint,,19.0,0.0,YES,,NAO
Billing,user_id,bigint,,19.0,0.0,YES,,NAO
Billing,irRetained,bit,,,,YES,,NAO
Billing,ir,numeric,,19.0,2.0,YES,,NAO
Billing,total,numeric,,19.0,2.0,YES,,NAO
Billing,valorTibutavel,numeric,,19.0,2.0,YES,,NAO
Billing,cofins,numeric,,19.0,2.0,YES,,NAO
Billing,iss,numeric,,19.0,2.0,YES,,NAO
Billing,nr_nota,bigint,,19.0,0.0,YES,,NAO
billing_bkp1,id,bigint,,19.0,0.0,NO,,NAO
billing_bkp1,akey,nvarchar,255.0,,,YES,,NAO
billing_bkp1,created,datetime,,,,YES,,NAO
billing_bkp1,dueDate,datetime,,,,YES,,NAO
billing_bkp1,invoiceReceiverType,varchar,255.0,,,YES,,NAO
billing_bkp1,obs,ntext,1073741823.0,,,YES,,NAO
billing_bkp1,seniorDateNFE,datetime,,,,YES,,NAO
billing_bkp1,seniorKey,nvarchar,255.0,,,YES,,NAO
billing_bkp1,status,nvarchar,255.0,,,YES,,NAO
billing_bkp1,type,nvarchar,255.0,,,YES,,NAO
billing_bkp1,branch_id,bigint,,19.0,0.0,YES,,NAO
billing_bkp1,user_id,bigint,,19.0,0.0,YES,,NAO
billing_bkp1,irRetained,bit,,,,YES,,NAO
billing_bkp1,ir,numeric,,19.0,2.0,YES,,NAO
billing_bkp1,total,numeric,,19.0,2.0,YES,,NAO
billing_bkp1,valorTibutavel,numeric,,19.0,2.0,YES,,NAO
billing_bkp1,cofins,numeric,,19.0,2.0,YES,,NAO
billing_bkp1,iss,numeric,,19.0,2.0,YES,,NAO
Billing_CashRequested,Billing_id,bigint,,19.0,0.0,NO,,NAO
Billing_CashRequested,cashRequests_id,bigint,,19.0,0.0,NO,,NAO
Billing_ItemInvoiced,Billing_id,bigint,,19.0,0.0,NO,,NAO
Billing_ItemInvoiced,itensInvoiced_id,bigint,,19.0,0.0,NO,,NAO
Billing_PaymentRequested,Billing_id,bigint,,19.0,0.0,NO,,NAO
Billing_PaymentRequested,payments_id,bigint,,19.0,0.0,NO,,NAO
BillingCustomerProfile,id,bigint,,19.0,0.0,NO,,SIM
BillingCustomerProfile,customerGroup_id,bigint,,19.0,0.0,YES,,NAO
BillingCustomerProfile,customer_id,bigint,,19.0,0.0,YES,,NAO
BillingCustomerProfile,item_id,bigint,,19.0,0.0,YES,,NAO
BillingCustomerProfile,price,decimal,,18.0,0.0,YES,,NAO
BillingCustomerProfile,product_id,bigint,,19.0,0.0,YES,,NAO
BillingCustomerProfile,service_id,bigint,,19.0,0.0,YES,,NAO
