TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,CHAVE_PRIMARIA
sysdiagrams,name,nvarchar,128.0,,,NO,,NAO
sysdiagrams,principal_id,int,,10.0,0.0,NO,,NAO
sysdiagrams,diagram_id,int,,10.0,0.0,NO,,SIM
sysdiagrams,version,int,,10.0,0.0,YES,,NAO
sysdiagrams,definition,varbinary,-1.0,,,YES,,NAO
TB_CARGO_SISTEMA,CD_SISTEMA,int,,10.0,0.0,NO,,SIM
TB_CARGO_SISTEMA,CD_CARGO,char,3.0,,,NO,,SIM
TB_CARGO_SISTEMA,IN_ATIVO,bit,,,,YES,((1)),NAO
TB_CONTROLE_ACESSO,CD_SISTEMA,int,,10.0,0.0,NO,,SIM
TB_CONTROLE_ACESSO,CD_MODULO,int,,10.0,0.0,NO,,SIM
TB_CONTROLE_ACESSO,CD_ROTINA,int,,10.0,0.0,NO,,SIM
TB_CONTROLE_ACESSO,CD_CARGO,int,,10.0,0.0,NO,,SIM
TB_CONTROLE_ACESSO,IN_ATIVO,bit,,,,NO,,NAO
TB_CONTROLE_ACESSO,IN_VISIVEL,bit,,,,NO,,NAO
TB_MODULO,CD_SISTEMA,int,,10.0,0.0,NO,,SIM
TB_MODULO,CD_MODULO,int,,10.0,0.0,NO,,SIM
TB_MODULO,NM_MODULO,varchar,50.0,,,NO,,NAO
TB_ROTINA,CD_SISTEMA,int,,10.0,0.0,NO,,SIM
TB_ROTINA,CD_MODULO,int,,10.0,0.0,NO,,SIM
TB_ROTINA,CD_ROTINA,int,,10.0,0.0,NO,,SIM
TB_ROTINA,NM_ROTINA,char,50.0,,,NO,,NAO
TB_SISTEMA,CD_SISTEMA,int,,10.0,0.0,NO,,SIM
TB_SISTEMA,NM_SISTEMA,varchar,50.0,,,NO,,NAO
TB_SISTEMA,NM_APLICATIVO,varchar,1000.0,,,NO,,NAO
TB_SISTEMA,NM_PROCESSO,varchar,255.0,,,NO,,NAO
TB_SISTEMA,DT_STOP,datetime,,,,YES,,NAO
TB_SISTEMA,NM_ARQUIVO_SCRIPT,varchar,1000.0,,,YES,,NAO
TB_SISTEMA,NM_APLICATIVO_PARAM,varchar,1000.0,,,YES,,NAO
TB_USUARIO_SENHAS,CD_USUARIO,char,4.0,,,YES,,NAO
TB_USUARIO_SENHAS,DT_SENHA,datetime,,,,YES,,NAO
TB_USUARIO_SENHAS,NM_SENHA,varchar,50.0,,,YES,,NAO
