TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,CHAVE_PRIMARIA
MSreplication_options,optname,nvarchar,128.0,,,NO,,NAO
MSreplication_options,value,bit,,,,NO,,NAO
MSreplication_options,major_version,int,,10.0,0.0,NO,,NAO
MSreplication_options,minor_version,int,,10.0,0.0,NO,,NAO
MSreplication_options,revision,int,,10.0,0.0,NO,,NAO
MSreplication_options,install_failures,int,,10.0,0.0,NO,,NAO
spt_fallback_db,xserver_name,varchar,30.0,,,NO,,NAO
spt_fallback_db,xdttm_ins,datetime,,,,NO,,NAO
spt_fallback_db,xdttm_last_ins_upd,datetime,,,,NO,,NAO
spt_fallback_db,xfallback_dbid,smallint,,5.0,0.0,YES,,NAO
spt_fallback_db,name,varchar,30.0,,,NO,,NAO
spt_fallback_db,dbid,smallint,,5.0,0.0,NO,,NAO
spt_fallback_db,status,smallint,,5.0,0.0,NO,,NAO
spt_fallback_db,version,smallint,,5.0,0.0,NO,,NAO
spt_fallback_dev,xserver_name,varchar,30.0,,,NO,,NAO
spt_fallback_dev,xdttm_ins,datetime,,,,NO,,NAO
spt_fallback_dev,xdttm_last_ins_upd,datetime,,,,NO,,NAO
spt_fallback_dev,xfallback_low,int,,10.0,0.0,YES,,NAO
spt_fallback_dev,xfallback_drive,char,2.0,,,YES,,NAO
spt_fallback_dev,low,int,,10.0,0.0,NO,,NAO
spt_fallback_dev,high,int,,10.0,0.0,NO,,NAO
spt_fallback_dev,status,smallint,,5.0,0.0,NO,,NAO
spt_fallback_dev,name,varchar,30.0,,,NO,,NAO
spt_fallback_dev,phyname,varchar,127.0,,,NO,,NAO
spt_fallback_usg,xserver_name,varchar,30.0,,,NO,,NAO
spt_fallback_usg,xdttm_ins,datetime,,,,NO,,NAO
spt_fallback_usg,xdttm_last_ins_upd,datetime,,,,NO,,NAO
spt_fallback_usg,xfallback_vstart,int,,10.0,0.0,YES,,NAO
spt_fallback_usg,dbid,smallint,,5.0,0.0,NO,,NAO
spt_fallback_usg,segmap,int,,10.0,0.0,NO,,NAO
spt_fallback_usg,lstart,int,,10.0,0.0,NO,,NAO
spt_fallback_usg,sizepg,int,,10.0,0.0,NO,,NAO
spt_fallback_usg,vstart,int,,10.0,0.0,NO,,NAO
spt_monitor,lastrun,datetime,,,,NO,,NAO
spt_monitor,cpu_busy,int,,10.0,0.0,NO,,NAO
spt_monitor,io_busy,int,,10.0,0.0,NO,,NAO
spt_monitor,idle,int,,10.0,0.0,NO,,NAO
spt_monitor,pack_received,int,,10.0,0.0,NO,,NAO
spt_monitor,pack_sent,int,,10.0,0.0,NO,,NAO
spt_monitor,connections,int,,10.0,0.0,NO,,NAO
spt_monitor,pack_errors,int,,10.0,0.0,NO,,NAO
spt_monitor,total_read,int,,10.0,0.0,NO,,NAO
spt_monitor,total_write,int,,10.0,0.0,NO,,NAO
spt_monitor,total_errors,int,,10.0,0.0,NO,,NAO
spt_values,name,nvarchar,35.0,,,YES,,NAO
spt_values,number,int,,10.0,0.0,NO,,NAO
spt_values,type,nchar,3.0,,,NO,,NAO
spt_values,low,int,,10.0,0.0,YES,,NAO
spt_values,high,int,,10.0,0.0,YES,,NAO
spt_values,status,int,,10.0,0.0,YES,((0)),NAO
