TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,CHAVE_PRIMARIA
armadores,id,int,,10.0,0.0,NO,,SIM
armadores,nm_armador,nvarchar,200.0,,,NO,,NAO
cidades_tdc,id,int,,10.0,0.0,NO,,SIM
cidades_tdc,nm_cidade_tdc,nvarchar,200.0,,,NO,,NAO
clientes_tdc,id,int,,10.0,0.0,NO,,SIM
clientes_tdc,nm_cliente_tdc,nvarchar,200.0,,,NO,,NAO
despachantes,id,int,,10.0,0.0,NO,,SIM
despachantes,nm_despachante,nvarchar,100.0,,,NO,,NAO
despachantes,nr_cnpj,nchar,14.0,,,NO,,NAO
despesas,id,int,,10.0,0.0,NO,,SIM
despesas,nm_despesa,nvarchar,200.0,,,NO,,NAO
empresas,id,int,,10.0,0.0,NO,,SIM
empresas,nm_empresa,nvarchar,100.0,,,NO,,NAO
empresas,id_tipo_empresa,int,,10.0,0.0,NO,,NAO
empresas,nr_cnpj,nchar,14.0,,,NO,,NAO
exportadores,id,int,,10.0,0.0,NO,,SIM
exportadores,nm_exportador,nvarchar,200.0,,,NO,,NAO
locais_entrega,id,int,,10.0,0.0,NO,,SIM
locais_entrega,nm_local_entrega,nvarchar,200.0,,,NO,,NAO
menus,id,int,,10.0,0.0,NO,,SIM
menus,nm_menu,nvarchar,100.0,,,NO,,NAO
perfis,id,int,,10.0,0.0,NO,,SIM
perfis,nm_perfil,nvarchar,100.0,,,NO,,NAO
permissoes,id,int,,10.0,0.0,NO,,SIM
permissoes,id_perfil,int,,10.0,0.0,NO,,NAO
permissoes,id_submenu,int,,10.0,0.0,NO,,NAO
permissoes,fl_ler,bit,,,,NO,((0)),NAO
permissoes,fl_criar,bit,,,,NO,((0)),NAO
permissoes,fl_atualizar,bit,,,,NO,((0)),NAO
permissoes,fl_excluir,bit,,,,NO,((0)),NAO
planilha_despachante_linhas,id,int,,10.0,0.0,NO,,SIM
planilha_despachante_linhas,id_planilha_despachante,int,,10.0,0.0,NO,,NAO
planilha_despachante_linhas,nr_linha,int,,10.0,0.0,NO,,NAO
planilha_despachante_linhas,cd_servico,nvarchar,2.0,,,YES,,NAO
planilha_despachante_linhas,nm_sbu,nvarchar,400.0,,,YES,,NAO
planilha_despachante_linhas,nr_cnpj_empresa,nchar,14.0,,,YES,,NAO
planilha_despachante_linhas,nm_pedidos,nvarchar,4000.0,,,YES,,NAO
planilha_despachante_linhas,nr_cnpj_despachante,nchar,14.0,,,YES,,NAO
planilha_despachante_linhas,nr_processo,nvarchar,100.0,,,YES,,NAO
planilha_despachante_linhas,tx_produtos,text,2147483647.0,,,YES,,NAO
planilha_despachante_linhas,nr_nota_fiscal,nvarchar,10.0,,,YES,,NAO
planilha_despachante_linhas,cd_tipo_container,nvarchar,2.0,,,YES,,NAO
planilha_despachante_linhas,nm_container_carga_solta,nvarchar,2000.0,,,YES,,NAO
planilha_despachante_linhas,cd_terminal_carga,nvarchar,7.0,,,YES,,NAO
planilha_despachante_linhas,nr_cnpj_transportadora,nchar,14.0,,,YES,,NAO
planilha_despachante_linhas,dt_chegada_saida,datetime,,,,YES,,NAO
planilha_despachante_linhas,dt_presenca_carga,datetime,,,,YES,,NAO
planilha_despachante_linhas,dt_desembaraco,datetime,,,,YES,,NAO
planilha_despachante_linhas,dt_liberacao_documentos,datetime,,,,YES,,NAO
planilha_despachante_linhas,nr_di_booking,nvarchar,30.0,,,YES,,NAO
