FOREIGN_KEY,TABELA_ORIGEM,COLUNA_ORIGEM,TABELA_DESTINO,COLUNA_DESTINO
FK_ACORDO_COMERCIAL,ACORDO_COMERCIAL_PAISES,ACORDO_COMERCIAL_ID,ACORDO_COMERCIAL,ID
FK_ACORDO_COMERCIAL_PAIS,ACORDO_COMERCIAL_PAISES,PAIS_CODIGO,TPAIS,CODIGO
FK_ANVISA_CLIENTE,ANVISA,CD_EMPRESA,TEMPRESA_NAC,CD_EMPRESA
FK_CLIENTES_CLI_LOCALIDADE,CLIENTES_CLI,ID_LOCALIDADE,LOCALIDADE,ID
FK_CLIENTES_CLI_TEMPRESA_NAC,CLIENTES_CLI,CD_EMPRESA,TEMPRESA_NAC,CD_EMPRESA
FK_DECLARACAO_ORIGEM_FEDERACAO,DECLARACAO_ORIGEM,FEDERACAO_ID,FEDERACAO,ID
FK__DECLARACA__DENOM__1F8DF793,DECLARACAO_ORIGEM_CLASSIFICACAO,ID_DO,DECLARACAO_ORIGEM,ID
FK_DEVICE_MESSAGE_CD_USUARIO,DEVICE_MESSAGE,CD_USUARIO,TUSUARIO,CD_USUARIO
FK_DEVICE_MESSAGE_PROCESSO,DEVICE_MESSAGE,NR_PROCESSO,TPROCESSO,NR_PROCESSO
FK_DEVICE_NOTIFICATION_PROCESSO,DEVICE_NOTIFICATION,NR_PROCESSO,TPROCESSO,NR_PROCESSO
FK_DEVICE_USER_DEVICE,DEVICE_USER,DEVICE_ID,DEVICE,ID
FK_DEVICE_USER_USUARIO,DEVICE_USER,CD_USUARIO,TUSUARIO,CD_USUARIO
FK__DuimpPush__duimp__01C88A82,DuimpPushDetalhe,duimpPushId,DuimpPush,id
FK_ESTADO_PAIS,ESTADO,ID_PAIS,PAIS,ID
FK_FIESP_IMPORTADOR_EMPRESA_EST,FIESP_IMPORTADOR,CD_EMPRESA_EST,TEMPRESA_EST,CD_EMPRESA
FK_FIESP_IMPORTADOR_EMPRESA_NAC,FIESP_IMPORTADOR,CD_EMPRESA_NAC,TEMPRESA_NAC,CD_EMPRESA
FK_FIESP_INTERVENIENTE_EMPRESA_EST,FIESP_INTERVENIENTE,CD_EMPRESA_EST,TEMPRESA_EST,CD_EMPRESA
FK_FIESP_INTERVENIENTE_EMPRESA_NAC,FIESP_INTERVENIENTE,CD_EMPRESA_NAC,TEMPRESA_NAC,CD_EMPRESA
FK_FILACMD_FILAORDEM,FILA_CONSULTA_LI_CMD,ID_ORDEM,FILA_CONSULTA_LI_ORDEM,ID
FK__INDEXTABL__nodei__543CF2EA,INDEXTABLE,nodeid,KEYTABLE,nodeid
FK_LOCALIDADE_ESTADO,LOCALIDADE,ID_ESTADO,ESTADO,ID
FK_TABRE_PROCESSO_DOCUMENTO_TABRE_PROCESSO,TABRE_PROCESSO_DOCUMENTO,NR_REGISTRO,TABRE_PROCESSO,NR_REGISTRO
FK_TADICAO_DE_IMPORTACAO_CFOP,TADICAO_DE_IMPORTACAO,CD_CFOP,TCFOP,CD_CFOP
FK_CD_CARGO,TCARGO_SISTEMAS,CD_CARGO,TCARGO,CD_CARGO
FK_CD_SISTEMA,TCARGO_SISTEMAS,CD_SISTEMA,TSISTEMAS,CD_SISTEMA
FK_TCOMPONENTE_TCARGO_SISTEMAS_COMPONENTE,TCARGO_SISTEMAS_COMPONENTE,CD_SISTEMA,TCOMPONENTES,CD_SISTEMA
FK_TCOMPONENTE_TCARGO_SISTEMAS_COMPONENTE,TCARGO_SISTEMAS_COMPONENTE,NM_FORM,TCOMPONENTES,NM_FORM
FK_TCOMPONENTE_TCARGO_SISTEMAS_COMPONENTE,TCARGO_SISTEMAS_COMPONENTE,NM_COMPONENTE,TCOMPONENTES,NM_COMPONENTE
FK_TPROPRIEDADE_COMPONENTE_T_CARGO_SISTEMAS_COMPONENTE,TCARGO_SISTEMAS_COMPONENTE,NM_PROPRIEDADE,TPROPRIEDADE_COMPONENTE,NM_PROPRIEDADE
FK_TCLIENTE_FATURAMENTO_FAIXA_EXP_TRECEITAS_EXP,TCLIENTE_FATURAMENTO_FAIXA_EXP,CD_ITEM,TRECEITAS_EXP,CD_ITEM
FK_TCLIENTE_FATURAMENTO_FAIXA_EXP_TRECEITAS_EXP,TCLIENTE_FATURAMENTO_FAIXA_EXP,CD_SERVICO,TRECEITAS_EXP,CD_SERVICO
