FOREIGN_KEY,TABELA_ORIGEM,COLUNA_ORIGEM,TABELA_DESTINO,COLUNA_DESTINO
FK__backupfil__backu__19AACF41,backupfile,backup_set_id,backupset,backup_set_id
FK__backupfil__backu__14E61A24,backupfilegroup,backup_set_id,backupset,backup_set_id
FK__backupmed__media__0A688BB1,backupmediafamily,media_set_id,backupmediaset,media_set_id
FK__backupset__media__10216507,backupset,media_set_id,backupmediaset,media_set_id
FK__DTA_outpu__Sessi__4203A4B5,DTA_output,SessionID,DTA_input,SessionID
FK__DTA_progr__Sessi__396E5EB4,DTA_progress,SessionID,DTA_input,SessionID
FK__DTA_repor__Table__776B912D,DTA_reports_column,TableID,DTA_reports_table,TableID
FK__DTA_repor__Sessi__4A98EAB6,DTA_reports_database,SessionID,DTA_input,SessionID
FK__DTA_repor__Table__6A11960F,DTA_reports_index,TableID,DTA_reports_table,TableID
FK__DTA_repor__Index__7953D99F,DTA_reports_indexcolumn,IndexID,DTA_reports_index,IndexID
FK__DTA_repor__Datab__4F5D9FD3,DTA_reports_partitionfunction,DatabaseID,DTA_reports_database,DatabaseID
FK__DTA_repor__Parti__542254F0,DTA_reports_partitionscheme,PartitionFunctionID,DTA_reports_partitionfunction,PartitionFunctionID
FK__DTA_repor__Sessi__5E9FE363,DTA_reports_query,SessionID,DTA_input,SessionID
DTA_reports_querycolumn_fk,DTA_reports_querycolumn,SessionID,DTA_reports_query,SessionID
DTA_reports_querycolumn_fk,DTA_reports_querycolumn,QueryID,DTA_reports_query,QueryID
FK__DTA_repor__Colum__7E188EBC,DTA_reports_querycolumn,ColumnID,DTA_reports_column,ColumnID
DTA_reports_querydatabase_fk,DTA_reports_querydatabase,SessionID,DTA_reports_query,SessionID
DTA_reports_querydatabase_fk,DTA_reports_querydatabase,QueryID,DTA_reports_query,QueryID
FK__DTA_repor__Datab__6458BCB9,DTA_reports_querydatabase,DatabaseID,DTA_reports_database,DatabaseID
DTA_reports_queryindex_fk,DTA_reports_queryindex,SessionID,DTA_reports_query,SessionID
DTA_reports_queryindex_fk,DTA_reports_queryindex,QueryID,DTA_reports_query,QueryID
FK__DTA_repor__Index__71B2B7D7,DTA_reports_queryindex,IndexID,DTA_reports_index,IndexID
DTA_reports_querytable_fk,DTA_reports_querytable,SessionID,DTA_reports_query,SessionID
DTA_reports_querytable_fk,DTA_reports_querytable,QueryID,DTA_reports_query,QueryID
FK__DTA_repor__Table__617C500E,DTA_reports_querytable,TableID,DTA_reports_table,TableID
FK__DTA_repor__Datab__58E70A0D,DTA_reports_table,DatabaseID,DTA_reports_database,DatabaseID
FK__DTA_repor__Table__5BC376B8,DTA_reports_tableview,TableID,DTA_reports_table,TableID
FK__DTA_repor__ViewI__5CB79AF1,DTA_reports_tableview,ViewID,DTA_reports_table,TableID
FK__DTA_tunin__Sessi__45D43599,DTA_tuninglog,SessionID,DTA_input,SessionID
FK__log_shipp__prima__1A34DF26,log_shipping_secondaries,primary_id,log_shipping_primaries,primary_id
fk_MSdbms_datatype_dbms_id,MSdbms_datatype,dbms_id,MSdbms,dbms_id
fk_MSdbms_datatype_mapping_dest_datatype_id,MSdbms_datatype_mapping,dest_datatype_id,MSdbms_datatype,datatype_id
fk_MSdbms_datatype_mapping_map_id,MSdbms_datatype_mapping,map_id,MSdbms_map,map_id
fk_MSdbms_map_default_datatype_mapping_id,MSdbms_map,default_datatype_mapping_id,MSdbms_datatype_mapping,datatype_mapping_id
fk_MSdbms_map_dest_dbms_id,MSdbms_map,dest_dbms_id,MSdbms,dbms_id
fk_MSdbms_map_src_datatype_id,MSdbms_map,src_datatype_id,MSdbms_datatype,datatype_id
fk_MSdbms_map_src_dbms_id,MSdbms_map,src_dbms_id,MSdbms,dbms_id
FK__restorefi__resto__2057CCD0,restorefile,restore_history_id,restorehistory,restore_history_id
FK__restorefi__resto__22401542,restorefilegroup,restore_history_id,restorehistory,restore_history_id
FK__restorehi__backu__1E6F845E,restorehistory,backup_set_id,backupset,backup_set_id
FK_syscollector_collection_items_internal_syscollector_collection_sets_internal,syscollector_collection_items_internal,collection_set_id,syscollector_collection_sets_internal,collection_set_id
FK_syscollector_collection_items_internal_syscollector_collector_types_internal,syscollector_collection_items_internal,collector_type_uid,syscollector_collector_types_internal,collector_type_uid
FK_syscollector_collection_sets_collection_sysjobs,syscollector_collection_sets_internal,collection_job_id,sysjobs,job_id
FK_syscollector_collection_sets_internal_sysproxies,syscollector_collection_sets_internal,proxy_id,sysproxies,proxy_id
FK_syscollector_collection_sets_upload_sysjobs,syscollector_collection_sets_internal,upload_job_id,sysjobs,job_id
FK_syscollector_collector_types_internal_collection_sysssispackages,syscollector_collector_types_internal,collection_package_folderid,sysssispackages,folderid
FK_syscollector_collector_types_internal_collection_sysssispackages,syscollector_collector_types_internal,collection_package_name,sysssispackages,name
FK_syscollector_collector_types_internal_upload_sysssispackages,syscollector_collector_types_internal,upload_package_folderid,sysssispackages,folderid
FK_syscollector_collector_types_internal_upload_sysssispackages,syscollector_collector_types_internal,upload_package_name,sysssispackages,name
FK_syscollector_execution_log_collection_set_id,syscollector_execution_log_internal,collection_set_id,syscollector_collection_sets_internal,collection_set_id
FK_syscollector_execution_stats_log_id,syscollector_execution_stats_internal,log_id,syscollector_execution_log_internal,log_id
FK_syscollector_tsql_query_collector_syscollector_collection_items_internal,syscollector_tsql_query_collector,collection_set_id,syscollector_collection_items_internal,collection_set_id
FK_syscollector_tsql_query_collector_syscollector_collection_items_internal,syscollector_tsql_query_collector,collection_item_id,syscollector_collection_items_internal,collection_item_id
FK__sysdbmain__plan___00750D23,sysdbmaintplan_databases,plan_id,sysdbmaintplans,plan_id
FK__sysdbmain__plan___7BB05806,sysdbmaintplan_jobs,plan_id,sysdbmaintplans,plan_id
FK__sysdtspac__categ__2EA5EC27,sysdtspackages,categoryid,sysdtscategories,id
FK__sysdtsste__linea__4589517F,sysdtssteplog,lineagefull,sysdtspackagelog,lineagefull
FK__sysdtstas__stepe__4A4E069C,sysdtstasklog,stepexecutionid,sysdtssteplog,stepexecutionid
FK__sysjobact__job_i__1FCDBCEB,sysjobactivity,job_id,sysjobs,job_id
FK__sysjobact__sessi__1ED998B2,sysjobactivity,session_id,syssessions,session_id
FK__sysjobsch__job_i__32E0915F,sysjobschedules,job_id,sysjobs,job_id
FK__sysjobsch__sched__31EC6D26,sysjobschedules,schedule_id,sysschedules,schedule_id
FK__sysjobste__step___276EDEB3,sysjobstepslogs,step_uid,sysjobsteps,step_uid
FK_sysmail_mailitems_mailitem_id,sysmail_attachments,mailitem_id,sysmail_mailitems,mailitem_id
FK__sysmail_p__profi__5E54FF49,sysmail_principalprofile,profile_id,sysmail_profile,profile_id
FK__sysmail_p__accou__68D28DBC,sysmail_profileaccount,account_id,sysmail_account,account_id
FK_mailitems_mailitem_id,sysmail_send_retries,mailitem_id,sysmail_mailitems,mailitem_id
FK__sysmail_s__accou__73501C2F,sysmail_server,account_id,sysmail_account,account_id
FK__sysmail_s__serve__74444068,sysmail_server,servertype,sysmail_servertype,servertype
FK_sysmaintplan_log_subplan_id,sysmaintplan_log,subplan_id,sysmaintplan_subplans,subplan_id
FK_sysmaintplan_log_detail_task_id,sysmaintplan_logdetail,task_detail_id,sysmaintplan_log,task_detail_id
FK_subplan_job_id,sysmaintplan_subplans,job_id,sysjobs,job_id
FK_subplan_msx_job_id,sysmaintplan_subplans,msx_job_id,sysjobs,job_id
FK_subplan_schedule_id,sysmaintplan_subplans,schedule_id,sysschedules,schedule_id
FK__sysmanage__serve__4F67C174,sysmanagement_shared_registered_servers_internal,server_group_id,sysmanagement_shared_server_groups_internal,server_group_id
FK_syspolicy_conditions_internal_facet,syspolicy_conditions_internal,facet_id,syspolicy_management_facets,management_facet_id
FK__syspolicy__manag__618671AF,syspolicy_facet_events,management_facet_id,syspolicy_management_facets,management_facet_id
FK_syspolicy_object_sets_syspolicy_management_facets,syspolicy_object_sets_internal,facet_id,syspolicy_management_facets,management_facet_id
FK_syspolicy_policies_sysjobs,syspolicy_policies_internal,job_id,sysjobs,job_id
FK_syspolicy_policies_syspolicy_conditions,syspolicy_policies_internal,condition_id,syspolicy_conditions_internal,condition_id
FK_syspolicy_policies_syspolicy_object_sets,syspolicy_policies_internal,object_set_id,syspolicy_object_sets_internal,object_set_id
FK_syspolicy_policies_syspolicy_policy_categories,syspolicy_policies_internal,policy_category_id,syspolicy_policy_categories_internal,policy_category_id
FK_syspolicy_policies_syspolicy_root_conditions,syspolicy_policies_internal,root_condition_id,syspolicy_conditions_internal,condition_id
FK_syspolicy_policy_category_subscriptions_syspolicy_policy_categories,syspolicy_policy_category_subscriptions_internal,policy_category_id,syspolicy_policy_categories_internal,policy_category_id
FK__syspolicy__histo__520F23F5,syspolicy_policy_execution_history_details_internal,history_id,syspolicy_policy_execution_history_internal,history_id
FK__syspolicy__polic__4A6E022D,syspolicy_policy_execution_history_internal,policy_id,syspolicy_policies_internal,policy_id
FK__syspolicy__polic__44B528D7,syspolicy_system_health_state_internal,policy_id,syspolicy_policies_internal,policy_id
FK_syspolicy_levels_conditions,syspolicy_target_set_levels_internal,condition_id,syspolicy_conditions_internal,condition_id
FK_syspolicy_levels_target_sets,syspolicy_target_set_levels_internal,target_set_id,syspolicy_target_sets_internal,target_set_id
FK_syspolicy_target_sets_syspolicy_object_sets,syspolicy_target_sets_internal,object_set_id,syspolicy_object_sets_internal,object_set_id
FK_sysutility_mi_smo_properties,sysutility_mi_smo_properties_to_collect_internal,object_type,sysutility_mi_smo_objects_to_collect_internal,object_type
