FOREIGN_KEY,TABELA_ORIGEM,COLUNA_ORIGEM,TABELA_DESTINO,COLUNA_DESTINO
FK_Account_Bank,Account,bank_id,Bank,id
FK_Account_Beneficiary,Account,beneficiary_id,Beneficiary,id
FK_APSExport_LogActivity,APSExport,log_id,LogActivity,id
FK_9uk78yoqfvwfi2vl0q7qxjs6,APSExport_EXP0003D,exp03D_id,EXP0003D,id
FK_h8k3w4t37yrfg44iaq6t9ojk6,APSExport_EXP0003D,APSExport_id,APSExport,id
FK_jchc6oojwplk9195kjux8hkc7,APSExport_EXP0004D,APSExport_id,APSExport,id
FK_otqavufiq7yaengcjacvbefth,APSExport_EXP0004D,exp04D_id,EXP0004D,id
FK_3amtoxvjrpial2n91bgvayp6k,APSExport_EXP0005S,APSExport_id,APSExport,id
FK_bkotac454pqm2eofc696q27nk,APSExport_EXP0005S,exp05S_id,EXP0005S,id
FK_User_Branch,AuthUser,branch_id,Branch,id
FK_Billing_Branch,Billing,branch_id,Branch,id
FK_Billing_User,Billing,user_id,AuthUser,id
FK_doggk4fg56f05l4eouks2atbh,Billing_CashRequested,cashRequests_id,CashRequested,id
FK_mebltrbjix2aqn4ptcok5xuhv,Billing_CashRequested,Billing_id,Billing,id
FK_4hfobcc21e59svlcjw6axnll9,Billing_ItemInvoiced,itensInvoiced_id,ItemInvoiced,id
FK_tavcyxehmpi3exhgikr9gckgm,Billing_ItemInvoiced,Billing_id,Billing,id
FK_4n22c7yfwnoxp3jy71ggnl71t,Billing_PaymentRequested,payments_id,PaymentRequested,id
FK_9he4l0v5jl3mn52w5dm1hv7yg,Billing_PaymentRequested,Billing_id,Billing,id
FK_Branch_Organization,Branch,organization_id,Organization,id
FK_CashRequested_Branch,CashRequested,branch_id,Branch,id
FK_CashRequested_Customer,CashRequested,customer_id,Customer,id
FK_CashRequested_CustomerClearance,CashRequested,customClearance_id,CustomClearance,id
FK_CashRequested_Product,CashRequested,product_id,Product,id
FK_CashRequested_Service,CashRequested,service_id,Service,id
FK_CashRequested_User,CashRequested,user_id,AuthUser,id
FK_ogy73h31g1aix0uf8qcywswgu,CashRequested_ItemCashRequested,items_id,ItemCashRequested,id
FK_omtwggg7mbrhpxwrvirmunxkd,CashRequested_ItemCashRequested,CashRequested_id,CashRequested,id
FK_Contact_Customer,Contact,customer_id,Customer,id
FK_Contact_User,Contact,user_id,AuthUser,id
FK_CustomClearance_Balance,CustomClearance,balance_id,Balance,id
FK_CustomClearance_Customer,CustomClearance,customer_id,Customer,id
FK_CustomClearance_Service,CustomClearance,service_id,Service,id
FK_Customer_CustomerGroup,Customer,group_id,CustomerGroup,id
FK_tl499gf2ll9bu6dixf2nvvxw,Customer,Country_id,Country,id
FK_1to995hhticishj56a0o187j7,Customer_CustomerProfile,Customer_id,Customer,id
FK_lg6ta26ut8m6735fphwj11f9r,Customer_CustomerProfile,cps_id,CustomerProfile,id
FK_CustomerGroup_PaymentDefinition,CustomerGroup,definitions_id,PaymentDefinition,id
FK_cnxw4gwfu9y6313tnld391vjo,CustomerGroup_CustomerProfile,CustomerGroup_id,CustomerGroup,id
FK_fbenc5taol54ewvr1fxhotyms,CustomerGroup_CustomerProfile,cps_id,CustomerProfile,id
FK_CustomerProfile_Product,CustomerProfile,product_id,Product,id
FK__DuimpPush__duimp__7EC1CEDB,DuimpPushDetalhe,duimpPushId,DuimpPush,id
FK_b9tlsskuede0ha2b381h8wb1k,IntegrationParameters_Job,IntegrationParameters_id,IntegrationParameters,id
FK_kw9prmsy2luy6ot4l2qgrtp1p,IntegrationParameters_Job,jobs_id,Job,id
FK_ItemCashRequested_Item,ItemCashRequested,item_id,Item,id
FK_ItemInvoiced_CustomClearance,ItemInvoiced,customClearance_id,CustomClearance,id
FK_ItemInvoiced_Item,ItemInvoiced,item_id,Item,id
FK_ItemPaymentRequested_Item,ItemPaymentRequested,item_id,Item,id
FK_PaymentDefinition_Branch,PaymentDefinition,branch_id,Branch,id
FK_PaymentDefinition_Customer,PaymentDefinition,customer_id,Customer,id
FK_PaymentDefinition_Product,PaymentDefinition,product_id,Product,id
FK_PaymentRequested_ApprovedUser,PaymentRequested,approvedUser_id,AuthUser,id
FK_PaymentRequested_Beneficiary,PaymentRequested,beneficiary_id,Beneficiary,id
FK_PaymentRequested_Billing,PaymentRequested,billing_id,Billing,id
FK_PaymentRequested_Branch,PaymentRequested,branch_id,Branch,id
FK_PaymentRequested_CustomClearance,PaymentRequested,customClearance_id,CustomClearance,id
FK_PaymentRequested_Customer,PaymentRequested,customer_id,Customer,id
FK_PaymentRequested_Product,PaymentRequested,product_id,Product,id
FK_PaymentRequested_Service,PaymentRequested,service_id,Service,id
FK_PaymentRequested_User,PaymentRequested,user_id,AuthUser,id
FK_43dy9n9qdds6tem2oyiqwge7n,PaymentRequested_ItemPaymentRequested,PaymentRequested_id,PaymentRequested,id
FK_e2723kufoq1eagfpyox7bpfio,PaymentRequested_ItemPaymentRequested,items_id,ItemPaymentRequested,id
FK_5j81onuv3wv35venotnwghnjm,Product_Service,Product_id,Product,id
FK_efbwkr43g0jxvp0nvlc3d0qma,Product_Service,services_id,Service,id
FK_Billing_id_Refund,Refund,Billing_id,Billing,id
FK_ItemPaymentRequested_id_Refund,Refund,ItemPaymentRequested_id,ItemPaymentRequested,id
FK_7n4iasdkaiew9gl4mxlcdq5pp,Report_ReportColumn,ReportCustomer_id,ReportCustomer,id
FK_qf49sd9fhypv525nmr9sovcg2,Report_ReportColumn,columns_id,ReportColumn,id
FK_kcmfhaykmkmayo6hk3uokb6i8,ReportCustomer,customer_id,Customer,id
FK_r145sacivlr1nndbtjmmjwjew,ReportCustomer,report_id,Report,id
FK_ReportCustomerGroup_CustomerGroup,ReportCustomerGroup,customerGroup_id,CustomerGroup,id
FK_tge05k8d675omibdymb987ucq,ReportCustomerGroup,report_id,Report,id
FK_48jnhchri3r2ew42krqb9pjnm,ReportCustomerGroup_ReportColumn,columns_id,ReportColumn,id
