FOREIGN_KEY,TABELA_ORIGEM,COLUNA_ORIGEM,TABELA_DESTINO,COLUNA_DESTINO
FK_empresas_tipos_empresa,empresas,id_tipo_empresa,tipos_empresa,id
FK_permissoes_perfis,permissoes,id_perfil,perfis,id
FK_permissoes_submenus,permissoes,id_submenu,submenus,id
FK_planilha_despachante_linhas_planilhas_despachantes,planilha_despachante_linhas,id_planilha_despachante,planilhas_despachantes,id
FK_planilha_transportadora_linhas_planilhas_transportadoras,planilha_transportadora_linhas,id_planilha_transportadora,planilhas_transportadoras,id
FK_planilhas_despachantes_usuarios,planilhas_despachantes,id_usuario,usuarios,id
FK_planilhas_transportadoras_usuarios,planilhas_transportadoras,id_usuario,usuarios,id
fk_processo_carga_despesas_despesas,processo_carga_despesas,id_despesa,despesas,id
fk_processo_carga_despesas_processo_cargas,processo_carga_despesas,id_processo_carga,processo_cargas,id
FK_processo_cargas_processos,processo_cargas,id_processo,processos,id
fk_processo_cargas_restricoes_entrega,processo_cargas,id_restricao_entrega,restricoes_entrega,id
FK_processo_cargas_tipos_container,processo_cargas,id_tipo_container,tipos_container,id
fk_processo_cargas_transportadoras,processo_cargas,id_transportadora,transportadoras,id
FK_processo_pedidos_processos,processo_pedidos,id_processo,processos,id
fk_processos_armadores,processos,id_armador,armadores,id
fk_processos_armadores_tco,processos,id_armador_tco,armadores,id
FK_processos_cidades_tdc,processos,id_cidade_tdc,cidades_tdc,id
FK_processos_clientes_tdc,processos,id_cliente_tdc,clientes_tdc,id
FK_processos_despachantes,processos,id_despachante,despachantes,id
FK_processos_empresas,processos,id_empresa,empresas,id
fk_processos_exportadores,processos,id_exportador,exportadores,id
FK_processos_locais_entrega,processos,id_local_entrega,locais_entrega,id
FK_processos_servicos,processos,id_servico,servicos,id
FK_processos_terminais_carga,processos,id_terminal_carga,terminais_carga,id
FK_processos_transportadoras_devolucao,processos,id_transportadora_devolucao,transportadoras_devolucao,id
FK_submenus_menus,submenus,id_menu,menus,id
FK_tela_gestao_clientes_tdc,tela_gestao,id_cliente_tdc,clientes_tdc,id
FK_tela_gestao_despachantes,tela_gestao,id_despachante,despachantes,id
FK_tela_gestao_empresas,tela_gestao,id_empresa,empresas,id
FK_tela_gestao_locais_entrega,tela_gestao,id_local_entrega,locais_entrega,id
FK_tela_gestao_processos,tela_gestao,id_processo,processos,id
fk_tela_gestao_restricoes_entrega,tela_gestao,id_restricao_entrega,restricoes_entrega,id
FK_tela_gestao_servicos,tela_gestao,id_servico,servicos,id
FK_tela_gestao_terminais_carga,tela_gestao,id_terminal_carga,terminais_carga,id
FK_tela_gestao_tipos_container,tela_gestao,id_tipo_container,tipos_container,id
FK_tela_gestao_transportadoras,tela_gestao,id_transportadora,transportadoras,id
FK_tela_gestao_transportadoras_devolucao,tela_gestao,id_transportadora_devolucao,transportadoras_devolucao,id
FK_tela_gestao_usuarios,tela_gestao,id_usuario,usuarios,id
FK_usuarios_despachantes,usuarios,id_despachante,despachantes,id
FK_usuarios_perfis,usuarios,id_perfil,perfis,id
FK_usuarios_transportadoras,usuarios,id_transportadora,transportadoras,id
FK_validacoes_planilhas_despachantes_planilhas_despachantes,validacoes_planilhas_despachantes,id_planilha_despachante,planilhas_despachantes,id
FK_validacoes_planilhas_transportadoras_planilhas_transportadoras,validacoes_planilhas_transportadoras,id_planilha_transportadora,planilhas_transportadoras,id
