CD_UNID_NEG,CD_PRODUTO,NR_PROCESSO,CD_FOLLOWUP_ETAPA,CD_ETAPA,CD_USUARIO,DT_ALTERACAO
1,1,0101IM-008603-23  ,7,119,707,2023-05-31 15:42:59.110
1,2,0102EM-021787-21  ,3,100,707,2021-12-22 17:25:18.617
1,1,0101IM-7099-08    ,2,110,707,2008-12-19 09:00:53.163
1,1,0101IM-001461-19  ,2,1113,707,2019-01-28 16:34:49.973
1,1,0101IM-003880-25  ,5,1119,707,2025-04-08 13:20:06.303
7,1,0701JA-2222-11    ,3,112,707,2011-08-16 14:25:46.387
1,2,0102EA-003388-18  ,6,139,707,2018-11-30 12:35:28.257
1,2,0102EM-008076-16  ,3,99,707,2016-08-30 17:35:46.570
1,1,0101TD-000726-17  ,2,110,707,2017-03-20 08:08:48.727
1,1,0101IM-015169-23  ,4,111,707,2023-10-24 16:37:41.827
1,1,0101IM-0874-10    ,2,110,707,2010-02-08 08:51:40.670
1,1,0101IM-0766-08    ,5,123,707,2008-02-14 08:28:05.840
1,2,0102ER-000801-14  ,3,90,707,2014-04-09 09:56:39.573
1,2,0102EM-004536-25  ,4,85,707,2025-05-01 08:33:28.210
1,1,0101IM-018517-21  ,4,1586,707,2021-12-23 15:14:44.287
2,1,0201IF-000371-23  ,1,1116,707,2023-08-24 16:32:12.420
1,1,0101IM-8030-13    ,5,1122,707,2014-01-14 09:18:02.493
1,1,0101IM-017211-24  ,7,119,707,2024-12-04 15:10:43.407
1,1,0101IM-008924-24  ,6,1586,707,2024-07-10 15:49:19.413
1,2,0102ER-003823-25  ,5,85,707,2025-09-17 16:00:05.683
1,1,0101IA-002733-25  ,1,1116,707,2025-05-13 16:04:23.687
1,1,0101IM-009567-22  ,8,1586,707,2022-08-31 14:41:59.387
1,1,0101IM-004417-21  ,2,1122,707,2021-03-16 13:55:44.917
1,2,0102ER-000259-15  ,10,85,707,2015-02-19 10:56:53.020
7,1,0701IA-1349-11    ,3,118,707,2011-10-05 18:37:45.873
1,2,0102EM-1250-09    ,4,97,707,2009-05-26 14:16:52.173
1,1,0101TD-000372-15  ,1,109,707,2015-01-19 09:32:01.783
1,2,0102EM-3558-09    ,5,99,707,2009-10-26 14:34:21.803
1,2,0102EM-2059-10    ,3,156,22,2010-06-15 13:13:00.143
1,2,0102EA-1668-12    ,9,85,707,2012-11-29 11:33:44.233
1,2,0102ER-003892-17  ,5,100,707,2017-10-19 15:59:31.327
1,2,0102EM-010431-17  ,6,98,707,2017-11-14 14:12:24.970
1,1,0101IM-004874-25  ,2,1117,707,2025-04-14 07:19:22.150
1,2,0102ER-0830-12    ,9,141,707,2012-06-06 18:39:00.210
1,2,0102EM-001658-16  ,6,102,707,2016-03-17 17:10:25.913
1,2,0102EA-002906-15  ,2,100,707,2015-10-09 18:04:11.100
1,2,0102ER-000124-25  ,1,133,707,2025-01-14 16:14:23.577
1,1,0101IM-012277-18  ,2,1113,707,2018-10-30 08:56:37.683
1,1,0101IA-006370-22  ,1,1116,707,2022-10-17 15:58:35.460
7,1,0701JA-0979-11    ,3,118,707,2011-04-13 09:29:25.270
1,1,0101IM-012372-16  ,5,1119,707,2016-11-04 12:46:21.660
1,2,0102EM-5778-10    ,4,102,707,2010-12-14 16:54:09.683
1,1,0101IM-014190-23  ,5,1586,707,2023-11-09 12:16:30.037
1,2,0102EM-012990-23  ,9,138,707,2023-12-15 11:31:49.073
1,2,0102EM-006886-24  ,3,100,707,2024-05-21 19:09:01.687
1,1,0101IA-000316-18  ,3,1117,707,2018-01-17 18:56:13.307
1,1,0101IM-017619-19  ,1,1116,707,2019-09-30 16:07:44.777
1,2,0102ER-003452-14  ,4,89,707,2015-01-28 09:08:26.487
1,1,0101IM-012300-16  ,3,111,707,2016-10-27 10:46:56.297
1,2,0102EM-006595-25  ,1,133,707,2025-05-05 17:49:40.900
1,2,0102EM-000676-17  ,4,100,707,2017-02-23 18:06:33.737
1,1,0101IM-010297-21  ,5,119,707,2021-06-22 09:27:24.373
1,2,0102EM-010669-15  ,3,99,707,2016-01-12 16:48:04.710
1,1,0101IA-002992-18  ,4,1119,707,2018-05-08 17:35:15.733
1,2,0102EM-002417-17  ,11,138,707,2017-04-25 14:01:33.283
1,2,0102EM-002561-15  ,2,99,707,2015-03-31 15:02:38.683
1,2,0102EM-019078-22  ,6,85,707,2022-12-04 07:18:28.413
2,2,0202EM-000066-16  ,3,135,707,2016-12-27 14:41:17.760
